NPUZ00119;Angry Birds;Mini;US
NPUZ00196;Jane's Hotel;Mini;US
NPUZ00197;Enigmo;Mini;US
NPUZ00252;Velocity;Mini;US
NPUZ00265;Ronnie O'Sullivan's Snooker;Mini;US
NPUZ00276;Canabalt;Mini;US
NPEE00001;Crash Bandicoot 1;PS1;EU
NPEE00001;Crash Bandicoot (DE);PS1;EU
NPEE00002;Syphon Filter;PS1;EU
NPEE00002;Syphon Filter;PS1;EU
NPEE00002;Syphon Filter (eng);PS1;EU
NPEE00004;WipEout;PS1;EU
NPEE00004;WipeOut (eng);PS1;EU
NPEE00004;WipeOut (spa);PS1;EU
NPEE00006;MediEvil;PS1;EU
NPEE00006;MediEvil (eng);PS1;EU
NPEE00008;Crash Bandicoot 2 - Cortex Strikes Back;PS1;EU
NPEE00008;Crash Bandicoot 2 (eng);PS1;EU
NPEE00014;Crash Bandicoot 3 - Warped;PS1;EU
NPEE00014;Crash Bandicoot 3 - Warped;PS1;EU
NPEE00014;Crash Bandicoot 3 - Warped (EN);PS1;EU
NPEE00023;Syphon Filter 3;PS1;EU
NPEE00023;Syphon Filter 3 (eng);PS1;EU
NPEE00023;Syphon Filter 3 (ger);PS1;EU
NPEE00026;Crash Team Racing;PS1;EU
NPEE00026;Crash Team Racing (EN);PS1;EU
NPEE00026;CTR - Crash Team Racing;PS1;EU
NPEE00027;Cool Boarders (eng);PS1;EU
NPEE00027;Cool Boarders (ger);PS1;EU
NPEE00030;Kula World (eng);PS1;EU
NPEE00038;Kurushi Final (eng);PS1;EU
NPEE00038;Kurushi Final (ger);PS1;EU
NPEE00039;Destruction Derby;PS1;EU
NPEE00044;Vib-ribbon;PS1;EU
NPEE00049;Twisted Metal;PS1;EU
NPEE00051;G-Police;PS1;EU
NPEE00051;G-Police (ger);PS1;EU
NPEE00053;UmJammer Lammy (ger);PS1;EU
NPEE00054;Jet Rider (eng);PS1;EU
NPEE00054;Jet Rider (ger);PS1;EU
NPEE00055;Jet Rider 2;PS1;EU
NPEE00056;Wild Arms (fre);PS1;EU
NPEE00074;Spyro 2: Gateway To Glimmer (eng);PS1;EU
NPEE00074;Spyro 2: Gateway To Glimmer (ger);PS1;EU
NPEE00075;Spyro 3: Year Of The Dragon (eng);PS1;EU
NPEE00075;Spyro 3: Year Of The Dragon (ger);PS1;EU
NPEE00076;Spyro The Dragon (eng);PS1;EU
NPEE00076;Spyro The Dragon (ger);PS1;EU
NPEF00001;Populous: The Beginning;PS1;EU
NPEF00004;Hardcore 4x4;PS1;EU
NPEF00006;Loaded;PS1;EU
NPEF00008;Motorhead (eng);PS1;EU
NPEF00009;Reloaded (ger);PS1;EU
NPEF00011;Tomb Raider;PS1;EU
NPEF00012;Tomb Raider II;PS1;EU
NPEF00012;Tomb Raider II: Starring Lara Croft (eng);PS1;EU
NPEF00015;Theme Hospital (eng);PS1;EU
NPEF00015;Theme Hospital (ger);PS1;EU
NPEF00021;Driver;PS1;EU
NPEF00021;DRIVER (eng);PS1;EU
NPEF00023;Rayman (EN);PS1;EU
NPEF00023;Rayman (fre);PS1;EU
NPEF00023;Rayman (ger);PS1;EU
